
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
     33    23.41      28.73       0.19    6468   0 MicrosoftSearchInBing
     15     6.43      14.82       0.27   20828   1 mobsync
     31   326.73      41.82     767.97    6576   0 mongod
     81    74.95      15.39       6.03    1424   1 ms-teams
    110   272.27      27.86     394.50   28728   1 ms-teams
     14     6.49      10.05       0.05   14608   0 msdtc
     73   850.59     490.09     329.05     852   1 msedgewebview2
     12    12.18       0.00       0.25   10552   1 msedgewebview2
     24    15.60      25.41      13.16   10564   1 msedgewebview2
     70   315.06      40.11      28.38   13808   1 msedgewebview2
     16     9.55       2.16       0.84   14580   1 msedgewebview2
     11     3.68       8.27       0.00   18116   1 msedgewebview2
     53    42.55       2.47       4.38   20180   1 msedgewebview2
     21    14.29       1.84       2.03   21440   1 msedgewebview2
     88   236.76       8.85       9.58   23540   1 msedgewebview2
     23    17.01      19.54       3.55   25072   1 msedgewebview2
     15     9.19       0.00       0.56   27448   1 msedgewebview2
     13    13.15       6.53       0.23   32352   1 msedgewebview2
     53   180.20       3.12       1.97   32560   1 msedgewebview2
     64   324.06      49.88      10.98   34688   1 msedgewebview2
     57   105.51     122.16      82.73   36948   1 msedgewebview2
     66   597.62     270.56      98.84   37500   1 msedgewebview2
     11     3.82       8.38       0.02   38256   1 msedgewebview2
     13    13.32       7.49       1.73   38736   1 msedgewebview2
     58    69.62      55.48      18.47   40636   1 msedgewebview2
     11     3.68       8.50       0.00   42664   1 msedgewebview2
     36    68.39      76.25       0.91   47452   1 node
     24    27.99      30.93      75.62    3852   0 NVDisplay.Container
     31    42.69      47.45      11.86    4120   1 NVDisplay.Container
     28    51.34      42.92       4.16    6384   0 OfficeClickToRun
     63    20.02      23.35      12.95   38212   1 olk
     24    36.14      35.27       7.39    6548   0 OneApp.IGCC.WinService
     70   121.98     127.32     153.27   20408   1 OneDrive
     15     6.72       4.53       0.08   25360   1 ONENOTEM
     12     3.87      10.38       0.22   25416   1 OpenConsole
    106    90.35     136.53       1.12   21796   1 PhoneExperienceHost
    110    78.79     136.09       4.81   26584   1 pwsh
     88   377.68      92.91      56.61   30672   1 RdClient.Windows
     25    12.06      46.21       4.91     332   0 Registry
     12     6.04       9.46   1,593.36    6500   0 rorchcdk
     11     5.75       8.46       0.00    6508   0 RstMwService
     16     8.39      12.53       0.42    6680   0 RtkAudUService64
     15     7.50      13.25       0.80   10556   1 RtkAudUService64
     16     8.21      14.25       0.62   11108   1 RtkAudUService64
     12     4.16      14.16       0.06    8184   1 RuntimeBroker
     11     3.73      11.62       0.03   17368   1 RuntimeBroker
     47    27.80      66.42       9.72   18948   1 RuntimeBroker
     27    15.38      40.45       0.33   18988   1 RuntimeBroker
      9     3.36       9.48       0.00   19348   1 RuntimeBroker
     18     7.20      25.01       0.55   21332   1 RuntimeBroker
     11     3.84      12.14       0.00   25048   1 RuntimeBroker
     14     4.48      16.26       0.03   27004   1 RuntimeBroker
     20     8.74      28.69      11.77   36580   1 RuntimeBroker
     19     8.84      23.63       0.08   37100   1 RuntimeBroker
    123   689.43      97.27      11.16   10704   0 SDApiService
    232   305.73     126.02      17.62   18296   1 SearchHost
     27    31.64      35.34      11.02    8068   0 SearchIndexer
      0     0.18      74.04       0.00     268   0 Secure System
     23     8.13      17.04       0.30   22500   0 SecurityHealthService
     11     5.19      10.52       0.00   22464   1 SecurityHealthSystray
     17   119.86     128.68     616.16    2920   0 SEDService
     16     8.90      15.91      99.75    1804   0 services
     69   111.38      81.88     191.67    5156   0 ServiceShell
     46    62.55      70.03       2.22   20328   1 ShellExperienceHost
     23     9.50      37.67      15.03    9652   1 sihost
      4     1.13       1.13       0.08    1216   0 smss
     38    86.83      62.98       8.09   20600   1 Sophos UI
     26   305.83     279.47      59.97   25512   0 SophosFileScanner
     11     2.37      11.10       0.00   44904   0 SophosFileScanner
     10     2.06       8.81       5.34    4936   0 SophosFS
     13     3.89      11.71      28.55    8040   0 SophosHealth
     10     3.07      10.92       2.31   15816   0 SophosLiveQueryService
     48    12.27      21.25       8.88   10004   0 SophosNetFilter
     23    11.38      27.71      67.91    6604   0 SophosNtpService
     20    33.10      31.95      21.97   22540   0 SophosOsquery
     41    39.80      42.11       7.73    5220   0 spoolsv
     86   447.59     452.66   1,089.03    7000   0 SSPService
     12     4.74       7.58       0.02   25480   1 StarMicronicsCloudUploader
     53   111.98     132.24       3.44   17904   1 StartMenuExperienceHost
    255   215.19     230.55      14.36   25384   0 SupportAssistAgent
     15     5.37      10.98       7.56    1544   0 svchost
     34    10.69      20.00     494.20    1764   0 svchost
     29    18.45      34.71      28.16    1952   0 svchost
     24    15.34      21.48      56.95    2044   0 svchost
     22     7.59      12.86       5.28    2100   0 svchost
     16     2.82       6.08       2.19    2120   0 svchost
     46    11.62       9.50       1.53    2132   0 svchost
     13     3.22       8.54       0.05    2148   0 svchost
     23     3.48       9.36       0.00    2156   0 svchost
     10     3.30       7.22       0.09    2164   0 svchost
     21     5.18      15.29       0.20    2176   0 svchost
     17     5.46      14.88       0.41    2188   0 svchost
     21     6.70      12.31     522.72    2248   0 svchost
     15     5.02      11.85       1.52    2256   0 svchost
     14     4.61      10.57       0.28    2312   0 svchost
